"('MID-CPU', 'HIGH-GPU', 'HIGH-RAM')"
"('MID-CPU', 'HIGH-GPU', 'MID-RAM')"
"('MID-CPU', 'HIGH-GPU', 'LOW-RAM')"
"('MID-CPU', 'MID-GPU', 'HIGH-RAM')"
"('MID-CPU', 'MID-GPU', 'MID-RAM')"
"('MID-CPU', 'MID-GPU', 'LOW-RAM')"
"('MID-CPU', 'LOW-GPU', 'HIGH-RAM')"
"('MID-CPU', 'LOW-GPU', 'MID-RAM')"
"('MID-CPU', 'LOW-GPU', 'LOW-RAM')"
"('HIGH-CPU', 'HIGH-GPU', 'HIGH-RAM')"
"('HIGH-CPU', 'HIGH-GPU', 'MID-RAM')"
"('HIGH-CPU', 'HIGH-GPU', 'LOW-RAM')"
"('HIGH-CPU', 'MID-GPU', 'HIGH-RAM')"
"('HIGH-CPU', 'MID-GPU', 'MID-RAM')"
"('HIGH-CPU', 'MID-GPU', 'LOW-RAM')"
"('HIGH-CPU', 'LOW-GPU', 'HIGH-RAM')"
"('HIGH-CPU', 'LOW-GPU', 'MID-RAM')"
"('HIGH-CPU', 'LOW-GPU', 'LOW-RAM')"
"('LOW-CPU', 'HIGH-GPU', 'HIGH-RAM')"
"('LOW-CPU', 'HIGH-GPU', 'MID-RAM')"
"('LOW-CPU', 'HIGH-GPU', 'LOW-RAM')"
"('LOW-CPU', 'MID-GPU', 'HIGH-RAM')"
"('LOW-CPU', 'MID-GPU', 'MID-RAM')"
"('LOW-CPU', 'MID-GPU', 'LOW-RAM')"
"('LOW-CPU', 'LOW-GPU', 'HIGH-RAM')"
"('LOW-CPU', 'LOW-GPU', 'MID-RAM')"
"('LOW-CPU', 'LOW-GPU', 'LOW-RAM')"
