,cpu,gpu,model,ram
0,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,X6 2018 Dual SIM TD-LTE CN 64GB,6.00
1,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,U12+ Dual SIM TD-LTE CN 128GB,6.00
2,"MediaTek MT6762 (Helio P22), 2018, 64 bit, octa-core, 12 nm, PowerVR GE8320 GPU",PowerVR GE8320,Vivo Y83 Dual SIM TD-LTE CN ,4.00
3,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,U12+ TD-LTE 64GB,6.00
4,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21iA Dual SIM TD-LTE CN 64GB,6.00
5,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,U12+ Dual SIM TD-LTE 64GB,6.00
6,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21iA Dual SIM TD-LTE CN 128GB,4.00
7,"Qualcomm Snapdragon 626 MSM8953 Pro, 2016, 64 bit, octa-core, 14 nm, Qualcomm Adreno 506 GPU",Qualcomm Adreno 506,Aquaris X Pro LTE Dual SIM 128GB,4.00
8,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,ZenFone Live L1 Dual SIM TD-LTE ID Version B ZA550KL 16GB,1.00
9,"Qualcomm Snapdragon 430 MSM8937, 2016, 64 bit, octa-core, 28 nm, Qualcomm Adreno 505 GPU",Qualcomm Adreno 505,simple sumaho 4 TD-LTE,3.00
10,"Qualcomm Snapdragon 425 MSM8917, 2016, 64 bit, quad-core, 28 nm, Qualcomm Adreno 308 GPU",Qualcomm Adreno 308,ZenFone Live L1 Dual SIM TD-LTE ID Version B ZA550KL 32GB,2.00
11,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21i Dual SIM TD-LTE CN 128GB,4.00
12,"Qualcomm Snapdragon 845 SDM845, 2018, 64 bit, octa-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 1536 Kbyte L2, 2048 Kbyte L3, 10 nm, Qualcomm Adreno 630 GPU",Qualcomm Adreno 630,6 Dual SIM Global TD-LTE A6000 64GB,6.00
13,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",ARM Mali-G72MP3,Vivo X21i Dual SIM TD-LTE CN 64GB,6.00
14,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Aquaris X2 Pro LTE Dual SIM 128GB ,6.00
15,"Qualcomm Snapdragon 636 SDM636, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 509 GPU",Qualcomm Adreno 509,Aquaris X2 LTE Dual SIM 64GB ,4.00
16,"HiSilicon Honor KIRIN970, 2017, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 10 nm, ARM Mali-G72 GPU",ARM Mali-G72MP12,Honor 10 Global Dual SIM TD-LTE 128GB COL-L29,4.00
17,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,Aquaris X2 Pro LTE Dual SIM 64GB,4.00
18,"Qualcomm Snapdragon 660 SDM660, 2017, 64 bit, octa-core, 14 nm, Qualcomm Adreno 512 GPU",Qualcomm Adreno 512,SM-A605G/DS Galaxy A6+ 2018 Duos TD-LTE APAC,4.00
19,"MediaTek MT6771 (Helio P60), 2018, 64 bit, octa-core, 64 Kbyte I-Cache, 64 Kbyte D-Cache, 1024 Kbyte L2, 12 nm, ARM Mali-G72 GPU",AMR Mali-G72MP3,realme 1 Dual SIM TD-LTE IN 128GB,6.00
