,full_name,link,phone
0,Galaxy S Light Luxury,http://www.gsmarena.com/samsung_galaxy_s_light_luxury-9202.php,Samsung
1,Galaxy J8,http://www.gsmarena.com/samsung_galaxy_j8-9205.php,Samsung
2,Galaxy J6,http://www.gsmarena.com/samsung_galaxy_j6-9203.php,Samsung
3,Galaxy J4,http://www.gsmarena.com/samsung_galaxy_j4-9204.php,Samsung
4,Galaxy A6+ (2018),http://www.gsmarena.com/samsung_galaxy_a6+_(2018)-9156.php,Samsung
5,Galaxy A6 (2018),http://www.gsmarena.com/samsung_galaxy_a6_(2018)-9155.php,Samsung
6,Galaxy J7 Duo,http://www.gsmarena.com/samsung_galaxy_j7_duo-9153.php,Samsung
7,Galaxy J7 Prime 2,http://www.gsmarena.com/samsung_galaxy_j7_prime_2-9135.php,Samsung
8,Galaxy S9+,http://www.gsmarena.com/samsung_galaxy_s9+-8967.php,Samsung
9,Galaxy S9,http://www.gsmarena.com/samsung_galaxy_s9-8966.php,Samsung
10,Galaxy J2 Pro (2018),http://www.gsmarena.com/samsung_galaxy_j2_pro_(2018)-8904.php,Samsung
11,Galaxy A8+ (2018),http://www.gsmarena.com/samsung_galaxy_a8+_(2018)-8790.php,Samsung
12,Galaxy A8 (2018),http://www.gsmarena.com/samsung_galaxy_a8_(2018)-8886.php,Samsung
13,Galaxy J2 (2017),http://www.gsmarena.com/samsung_galaxy_j2_(2017)-8900.php,Samsung
14,Galaxy Tab Active 2,http://www.gsmarena.com/samsung_galaxy_tab_active_2-8897.php,Samsung
15,Galaxy Tab A 8.0 (2017),http://www.gsmarena.com/samsung_galaxy_tab_a_8_0_(2017)-8725.php,Samsung
16,Galaxy C7 (2017),http://www.gsmarena.com/samsung_galaxy_c7_(2017)-8789.php,Samsung
17,Gear Sport,http://www.gsmarena.com/samsung_gear_sport-8839.php,Samsung
18,Galaxy Note8,http://www.gsmarena.com/samsung_galaxy_note8-8505.php,Samsung
19,Galaxy S8 Active,http://www.gsmarena.com/samsung_galaxy_s8_active-8676.php,Samsung
20,Galaxy J7 V,http://www.gsmarena.com/samsung_galaxy_j7_v-8778.php,Samsung
21,Galaxy Note FE,http://www.gsmarena.com/samsung_galaxy_note_fe-8683.php,Samsung
22,Galaxy J7 Max,http://www.gsmarena.com/samsung_galaxy_j7_max-8684.php,Samsung
23,Galaxy J7 Pro,http://www.gsmarena.com/samsung_galaxy_j7_pro-8561.php,Samsung
24,Galaxy J7 (2017),http://www.gsmarena.com/samsung_galaxy_j7_(2017)-8675.php,Samsung
25,Galaxy J5 (2017),http://www.gsmarena.com/samsung_galaxy_j5_(2017)-8705.php,Samsung
26,Galaxy J3 (2017),http://www.gsmarena.com/samsung_galaxy_j3_(2017)-8438.php,Samsung
27,Z4,http://www.gsmarena.com/samsung_z4-8682.php,Samsung
28,Galaxy S8,http://www.gsmarena.com/samsung_galaxy_s8-8161.php,Samsung
29,Galaxy S8+,http://www.gsmarena.com/samsung_galaxy_s8+-8523.php,Samsung
30,Gear S3 classic LTE,http://www.gsmarena.com/samsung_gear_s3_classic_lte-8627.php,Samsung
31,Galaxy C5 Pro,http://www.gsmarena.com/samsung_galaxy_c5_pro-8437.php,Samsung
32,Galaxy Xcover 4,http://www.gsmarena.com/samsung_galaxy_xcover_4-8577.php,Samsung
33,Galaxy Tab S3 9.7,http://www.gsmarena.com/samsung_galaxy_tab_s3_9_7-8554.php,Samsung
34,Galaxy J1 mini prime,http://www.gsmarena.com/samsung_galaxy_j1_mini_prime-8397.php,Samsung
35,Galaxy J3 Emerge,http://www.gsmarena.com/samsung_galaxy_j3_emerge-8486.php,Samsung
36,Galaxy C7 Pro,http://www.gsmarena.com/samsung_galaxy_c7_pro-8435.php,Samsung
37,Galaxy A7 (2017),http://www.gsmarena.com/samsung_galaxy_a7_(2017)-8335.php,Samsung
38,Galaxy A5 (2017),http://www.gsmarena.com/samsung_galaxy_a5_(2017)-8494.php,Samsung
39,Galaxy A3 (2017),http://www.gsmarena.com/samsung_galaxy_a3_(2017)-8336.php,Samsung
40,Galaxy Grand Prime Plus,http://www.gsmarena.com/samsung_galaxy_grand_prime_plus-8385.php,Samsung
41,Galaxy J2 Prime,http://www.gsmarena.com/samsung_galaxy_j2_prime-8424.php,Samsung
42,Galaxy C9 Pro,http://www.gsmarena.com/samsung_galaxy_c9_pro-8347.php,Samsung
43,Galaxy C10,http://www.gsmarena.com/samsung_galaxy_c10-8718.php,Samsung
44,Galaxy A8 (2016),http://www.gsmarena.com/samsung_galaxy_a8_(2016)-7801.php,Samsung
45,Galaxy On8,http://www.gsmarena.com/samsung_galaxy_on8-8367.php,Samsung
46,Galaxy On7 (2016),http://www.gsmarena.com/samsung_galaxy_on7_(2016)-8265.php,Samsung
47,Gear S3 classic,http://www.gsmarena.com/samsung_gear_s3_classic-8309.php,Samsung
48,Gear S3 frontier,http://www.gsmarena.com/samsung_gear_s3_frontier-8308.php,Samsung
49,Gear S3 frontier LTE,http://www.gsmarena.com/samsung_gear_s3_frontier_lte-8307.php,Samsung
50,Galaxy J5 Prime,http://www.gsmarena.com/samsung_galaxy_j5_prime-8342.php,Samsung
51,Galaxy J7 Prime,http://www.gsmarena.com/samsung_galaxy_j7_prime-8314.php,Samsung
52,Z2,http://www.gsmarena.com/samsung_z2-8288.php,Samsung
53,Galaxy Note7 (USA),http://www.gsmarena.com/samsung_galaxy_note7_(usa)-8242.php,Samsung
54,Galaxy Note7,http://www.gsmarena.com/samsung_galaxy_note7-8082.php,Samsung
55,Galaxy On7 Pro,http://www.gsmarena.com/samsung_galaxy_on7_pro-8140.php,Samsung
56,Galaxy On5 Pro,http://www.gsmarena.com/samsung_galaxy_on5_pro-8192.php,Samsung
