,full_link
0,http://phonedb.net/index.php?m=device&id=13417&c=nokia_x6_2018_dual_sim_td-lte_cn_64gb
1,http://phonedb.net/index.php?m=device&id=13416&c=htc_u12plus_dual_sim_td-lte_cn_128gb__htc_imagine
2,http://phonedb.net/index.php?m=device&id=13413&c=bbk_vivo_y83_dual_sim_td-lte_cn
3,http://phonedb.net/index.php?m=device&id=13414&c=htc_u12plus_td-lte_64gb__htc_imagine
4,http://phonedb.net/index.php?m=device&id=13411&c=bbk_vivo_x21ia_dual_sim_td-lte_cn_64gb
5,http://phonedb.net/index.php?m=device&id=13412&c=htc_u12plus_dual_sim_td-lte_64gb__htc_imagine
6,http://phonedb.net/index.php?m=device&id=13410&c=bbk_vivo_x21ia_dual_sim_td-lte_cn_128gb
7,http://phonedb.net/index.php?m=device&id=13408&c=bq_aquaris_x_pro_lte_dual_sim_128gb
8,http://phonedb.net/index.php?m=device&id=13409&c=asus_zenfone_live_l1_dual_sim_td-lte_id_version_b_za550kl_16gb
9,http://phonedb.net/index.php?m=device&id=13403&c=sharp_simple_sumaho_4_td-lte
10,http://phonedb.net/index.php?m=device&id=13407&c=asus_zenfone_live_l1_dual_sim_td-lte_id_version_b_za550kl_32gb
11,http://phonedb.net/index.php?m=device&id=13406&c=bbk_vivo_x21i_dual_sim_td-lte_cn_128gb
12,http://phonedb.net/index.php?m=device&id=13405&c=oneplus_6_dual_sim_global_td-lte_a6000_64gb
13,http://phonedb.net/index.php?m=device&id=13404&c=bbk_vivo_x21i_dual_sim_td-lte_cn_64gb
14,http://phonedb.net/index.php?m=device&id=13402&c=bq_aquaris_x2_pro_lte_dual_sim_128gb
15,http://phonedb.net/index.php?m=device&id=13400&c=bq_aquaris_x2_lte_dual_sim_64gb
16,http://phonedb.net/index.php?m=device&id=13401&c=huawei_honor_10_global_dual_sim_td-lte_128gb_col-l29
17,http://phonedb.net/index.php?m=device&id=13397&c=bq_aquaris_x2_pro_lte_dual_sim_64gb
18,http://phonedb.net/index.php?m=device&id=13399&c=samsung_sm-a605gds_galaxy_a6plus_2018_duos_td-lte_apac__samsung_a605
19,http://phonedb.net/index.php?m=device&id=13398&c=oppo_realme_1_dual_sim_td-lte_in_128gb
20,http://phonedb.net/index.php?m=device&id=13393&c=bq_aquaris_x2_lte_dual_sim_32gb
21,http://phonedb.net/index.php?m=device&id=13396&c=xiaomi_redmi_s2_dual_sim_td-lte_cn_64gb
22,http://phonedb.net/index.php?m=device&id=13395&c=sharp_aquos_r2_td-lte_706sh
23,http://phonedb.net/index.php?m=device&id=13394&c=xiaomi_redmi_s2_dual_sim_td-lte_cn_32gb
